EventCode,NTSyslogID,action
821,S821,success
821,F821,failure
822,S822,success
822,F822,failure
823,S823,success
823,F823,failure
824,S824,success
824,F824,failure
825,S825,success
825,F825,failure
826,S826,success
826,F826,failure
827,S827,success
827,F827,failure
828,S828,success
828,F828,failure
829,S829,success
829,F829,failure
830,S830,success
830,F830,failure
831,S831,success
831,F831,failure
832,S832,success
832,F832,failure
833,S833,success
833,F833,failure
834,S834,success
834,F834,failure
835,S835,success
835,F835,failure
836,S836,success
836,F836,failure
837,S837,success
837,F837,failure
838,S838,success
838,F838,failure
839,S839,success
839,F839,failure
840,S840,success
840,F840,failure
841,S841,success
841,F841,failure
842,S842,success
842,F842,failure
843,S843,success
843,F843,failure
844,S844,success
844,F844,failure
845,S845,success
845,F845,failure
846,S846,success
846,F846,failure
847,S847,success
847,F847,failure
848,S848,success
848,F848,failure
849,S849,success
849,F849,failure
850,S850,success
850,F850,failure
851,S851,success
851,F851,failure
852,S852,success
852,F852,failure
853,S853,success
853,F853,failure
854,S854,success
854,F854,failure
855,S855,success
855,F855,failure
856,S856,success
856,F856,failure
857,S857,success
857,F857,failure
858,S858,success
858,F858,failure
859,S859,success
859,F859,failure
860,S860,success
860,F860,failure
861,S861,success
861,F861,failure
862,S862,success
862,F862,failure
863,S863,success
863,F863,failure
864,S864,success
864,F864,failure
865,S865,success
865,F865,failure
866,S866,success
866,F866,failure
867,S867,success
867,F867,failure
868,S868,success
868,F868,failure
869,S869,success
869,F869,failure
870,S870,success
870,F870,failure
871,S871,success
871,F871,failure
872,S872,success
872,F872,failure
873,S873,success
873,F873,failure
874,S874,success
874,F874,failure
875,S875,success
875,F875,failure
876,S876,success
876,F876,failure
877,S877,success
877,F877,failure
878,S878,success
878,F878,failure
879,S879,success
879,F879,failure
880,S880,success
880,F880,failure
881,S881,success
881,F881,failure
882,S882,success
882,F882,failure
883,S883,success
883,F883,failure
884,S884,success
884,F884,failure
885,S885,success
885,F885,failure
886,S886,success
886,F886,failure
887,S887,success
887,F887,failure
888,S888,success
888,F888,failure
889,S889,success
889,F889,failure
890,S890,success
890,F890,failure
891,S891,success
891,F891,failure
892,S892,success
892,F892,failure
893,S893,success
893,F893,failure
894,S894,success
894,F894,failure
895,S895,success
895,F895,failure
896,S896,success
896,F896,failure
897,S897,success
897,F897,failure
898,S898,success
898,F898,failure
899,S899,success
899,F899,failure
900,S900,success
900,F900,failure
901,S901,success
901,F901,failure
902,S902,success
902,F902,failure
903,S903,success
903,F903,failure
904,S904,success
904,F904,failure
905,S905,success
905,F905,failure
906,S906,success
906,F906,failure
907,S907,success
907,F907,failure
908,S908,success
908,F908,failure
909,S909,success
909,F909,failure
910,S910,success
910,F910,failure
911,S911,success
911,F911,failure
912,S912,success
912,F912,failure
913,S913,success
913,F913,failure
914,S914,success
914,F914,failure
915,S915,success
915,F915,failure
916,S916,success
916,F916,failure
917,S917,success
917,F917,failure
918,S918,success
918,F918,failure
919,S919,success
919,F919,failure
920,S920,success
920,F920,failure
921,S921,success
921,F921,failure
922,S922,success
922,F922,failure
923,S923,success
923,F923,failure
924,S924,success
924,F924,failure
925,S925,success
925,F925,failure
926,S926,success
926,F926,failure
